SENTENCE,label(0->Tocxic & 1 -> Non-toxic)
"aro onek recipe chai, tumi best food creator",1
arpita khan 20 bochor por dekha koris,1
asadharon,1
ashar alo kokhono nibhe jayna!,1
"asho topa top dei, shanti paba",0
ashraf shaheb amake dekhe khushi holen mone holo bolen apni eshechen bhaloi holo,1
asombhob sundor,1
"aste khulben, aste lagaben , adeshkrome pasher basar bhabi",0
ati uttom,1
auto chalaleo oi madarchod polader moto khola jaygay paykhana kore poribesh noshto kortese na,0
awami league-r chamchagulore joy bangla kore deya hocche ,0
awamileague er jonno Bangladesh e bichar chaowa hasshokor!,0
b for barishailla b for bosti,0
baal er puja koros amr,0
baal er shomoytv baal chodas dalal kothakar,0
"baal felaio, amr baal e aim koro  ",0
"baba-ma proud, amrao proud! tui success er rastai thak!",1
babu boro hoile bolbe oi dekha jay madarch0d,0
"baccha belar obhiman gula ashole onek deeper emotion theke ashe, ei golpota tar perfect example!",1
bad den bhai,1
Bah!!!,1
bah dol palte ekhon dustbin!,0
bah sudir vai bah post datar ekta bichi kete national zoo te rakha uchit,0
bah! eto rasul premik uposthit chhilen ALLAH shobar jiboner cholaar pot shojjo koruk.,1
Bah! patita o patitar dalal eki frame e ! kheye deye ekakar,0
bal er wicket nisos magirp@la LA! ,0
bal joto bar not interested kori toto bara baler video ase,0
baler sound na dile ki manush hastona,0
"Banchod sangbadik, tader kotha shunano gelo kintu shotti-totti report korena.",0
"bandir pola duita khejur bechuk, cricket sodano lagbe na!",0
Bandir pola tor hedar news koros! ,0
"bangali hochhe copy master, onner culture copy korte khuv expert, so for dhantaras or diwali absolutely north indian culture",0
Bangladesh amar desh,1
Bangladesh e ekmatro shikkhito lok ei gonoshotru.,0
Bangladesh er ase ta ki.,0
Bangladesh obese right activist shommelon,0
Bangladesh theke dekhechi onek bhalo laglo gan ta dekhe.,1
"Bangladesh-er gajal er modhye joto shilpi ache, sobar upore top super duper, abu ubayda.",1
"Bangladesher muktijoddhara na kheye din katay, ar varoter baal er jonno lakh lakh taka budget kore, ei holo Bangladesher muktijuddher chetona bebsha",0
Bangladesher shuvobuddhi sompanno manusher protibad sotyi vobar noy,1
Bangladeshi nicki minaj ashte beshi deri nai,0
banglar jomine ei 4 nastik netar fashi chai,0
barishaillara chapabaj!! ekdom thikase!,0
barishal er manush der bisshash koris na vai,0
barishal theke uitha ashe shala nongrachoda,0
barshiallara sesrar jat!,0
"Batparer bacca, tora officer namer kolongko",0
behaya,0
besh valo lagche! jibon er notun path e shuvo jatra!,1
"besh valo lagche, tui onek dur jabi in shaa ALLAH!",1
bessha magi khanki,0
"best content, best biriyani, best creator",1
"Bhabi, boro bhai r dada der kotha shune kichu hobe na.",1
"Bhagavad gita bolse dharma r pothe cholle moksha asbe adharma r pothe cholle bipod asbe tui je bipoder dike jacchis, tar bhalo fal ashbe na",0
"bhagavad gita bolse, ma baba'r shraaddho e tor kartobbo! tui tader fele ki shanti pete chash",0
"Bhagavad gita bolse, tor kormo shuddho na hole tor bipod likha! maa baba ke fele diye shoshur er taka niye ki shukhe thakbi tui",0
"bhagwan tor kormofol likhe rekheche! taka thaka porjonto tor ei shoshur bhalo thakbe, taka shesh hole tor upor lathi uthbe",0
"bhagwan tor shashti shigroi dibe! maa baba ke chara manush valo thakte pare na! krishna bolsen,adharma cholbena",0
bhai  cumilla theke,1
bhai 2.5k like er jonno sesh mesh emne chegaya gelen,0
bhai amra apnake kori apni sob shomoy sotyer sathe thaken ALLAH apnake hefajot korun,1
bhai arbi mas somporke janun,1
Bhai Bangladesh e ki khepachoda rai thake bara mute dile das vese jabe,0
"Bhai ei apu der teke amr nach onk valoi ache, chi maansomman noshto kore !",0
bhai er dhon ki kalo ,0
bhai er jonnoi tomra noakhailla! prove tmi e dila cmnt gula kore,0
bhai ki vajal gonjika shebon korechen,0
"Bhai, eita ekdom complicated situation. jodi tomra ekhon open hoye kotha bolte paro, ar proshno korbe, tokhon kichu ta clear hote pare. ",1
bhai eto shundor logic ar keu dite parbe na,1
"bhai jehetu apni Vhalobasa theke korchen, sheta shohojei thik hoye jabe. kintu bouvaater jonne bhalo kichu korte hobe, shudhu bhalobasha thik thak thakbe na.",1
bhaiya gan ta amar onek piya ar onek sundor,1
bhalo kajer jonno shobar shomorthon dorkar! ami always sarjis and nahid dr upor trust kori!,1
bhalo kajer somman shobshomoy thake.,1
bhalo kore celebrate korish! ei din bar bar ashe na!,1
bhalo manushder pashe thaka ta ekanto dorkari! ,1
"bhalobasha emon ekta jinis, jekhane shob kichu dao jay, but kichu ekta abossoi lukiye rakha lage.",1
bhaloi likhechen,1
"bharot er lok biral, chagol, guishap shob prani chude chude rape kore! meye manush ar ki tader kache chii! ",0
"bible bolse, honor thy father and mother. tui ki jesus christ-er kotha o bhule gesis tor upor god-er raag ashte deri nei",0
bichi baba,0
bichi baba icca,0
biggan hok shikkhar mul bitti,1
"biriyani ekta emotion, and tumi eta perfect korechho",1
biriyani plus love ,1
bishonno sundori,1
"biya to tik hoye gese ojat dhormer dandir sathe,tumi to akhn theke indiar citizen hoye jabe",0
bjp er dalal o ache sathe,0
BNP r mukhe ekhon moulobad khela shuru hoye geche ja age awami league bolto.,0
boi ta nite chai ki kore pabo bole dile upokar hoto,1
boi ti kivabe kinte parbo kindly reply korben,1
bolbo tomay valobasi,1
"boro hoye geli re mama, degree paili!",1
bortomane amader takay ekta akorshoniyo router ache,1
bowdi apnar husband na parle amk bolben onek moja paben ,0
boycott india ponno,0
boyosh koto apnar,1
brishti bheja phool,1
Buddha bolsen karmofol bhug kortei hobe! tui nijer maa baba ke fele rakhle tor jiboneo shanti asbena,0
"Buddha bolsen, jodi sotti holeo dosh kora hoy, tar fal bhug korte hobe. tor kormo tor biporjoy nishchit koreche",0
"buddha bolsen, satyagraha hobe, doshi tor shasti pabei. tor jonne chorom dondoniyo oporadh likha ache, nijer maa ke lathi des tor pa venge dbo",0
"buddha bolsen,dukkha je kore, shei dukkha bhug kore. maa-baba ke fele dilis, ebar nijer jibon e tor bipod ashtese",0
"buddha bolsen,satyagraha hobe, doshi tor shasti pabei.tor jonne tripitaka-te shanti nei",0
"buddhism e bola ache, dukkhobodhe porishuddho howa jai. tui maa baba ke dukhho dis, tui ke porishuddho hobi",0
"buddhism er ahimsa tor jonno nai, dosh kore shanti pete parbina! tor kopale koshter jibon likha ache",0
bullet ar chamra jholar moddhe different acei,0
"butterfly er ekta wing dite partei, doll r beshilo! ",1
"butterfly er prothom owner tumi, but doll er obidar depth bujhte gele, etakeo share kora uchit chilo. ",1
"butterfly er upor eto obhiman, eto bhalobashajeta amra ekhon grown-up holeo bujhte pari. ",1
butterfly ta akhono thakle hoyto akhon nostalgic ekta box e rekhe dite parta. ,1
by the way nokh gulan emon rakkhosher moto kn mone hocche jeno majh raate ghore petni dhukse ,0
caption rakhle ki bhalo hobe ei photo r caption chai! ,1
"celebrity howar aage lekhok howa uchit, erpori pathok ra apnake khuje pabe. etai sothik poth. ",1
chagol mohila,0
chaina ami emon dekha,1
"chapa diya rekhechili! congooo, superstar!",1
chatro namer shibirera egulo korche.,0
cheleder toilet e fele dewa sperm o lakh takay bikri hoy ar ei meye ki bolche ,0
chesramir dik theke noakhailla der sthe karo tulona hoi nah bruh ,0
chet er kotha shunte chai na! halara mejaj kharap kore dei! ,0
chhi! ki gondho pachar poribesh dushon koira felse! ,0
"chhobi emon eta bhab dhore ache mone hoyeche,, kono manush kanna korar aage chokhe pani eshe jhapse jhapse hoye jai pani r jonno thik emon ekta proti chhobi pachchi,, mashALLAH",1
chhobi er mood ta onk deep! ,1
chhobi ta frame kore rakhar moto! ,1
chila patar kotha mone porlo ,1
"chintar kono reason nai, tui ekhon ekjon real graduate!",1
chittagong onek shundor. chittagong niye ekta vlog korben vaiya,1
"chodna magi chup thak, tor bolte bolsi",0
chodur dolll! ,0
choshmaala chele take putki marate chai! ,0
"choto bhai result valo korse, amra khub happy ",1
choto choto moments gula ekshathe millei to boro shukh hoy! ,1
chotto cheler mone thaka proshno r maa er uttar ta sob thik achhe.,1
"chud marani chudir bhai! off ja, naile bash tor pasa diya bas dukamu! madarchod",0
chudmarani ganjakhor kothakar! ,0
"Chunnu Bhai er sathe jogajog korun, onek dorkar! ALLAH unar shahajjo koruk.",1
chup thak khankir pola ,0
chutiyaaapaa dekh!!,0
"chutmarani, khankir put, achoda condomer rubber, sonakata bainchod ",0
classic touch! apni ekta artist! ,1
cock e pani diya ashlm ei khela dekhe! ,0
comment gulo otonto shostir,1
comment-er uttor na dile tor ma ke chudi! chude mere felbo magirpola,0
"condom box raka ucit oitar kotha bollen na kn, eto hot bou! ",0
congratualtions,1
congratulations! ekhon life er notun ekta chapter shuru!,1
cooking er sathe tomar energy onek special,1
copy korlam,1
dada dekho ki sundor,1
dandi hondai moja paina ,0
dandir deshe jonmo na newai bhaggo,0
"dark complexion mane confidence, tor mentality hoilo damage",0
"dark complexion mane strong identity, tor gora brain fail",0
"dark skin class e pare, but tor gora brain ta cheap.",0
darun,1
darun,1
darun lagche,1
debotar guru brihospoti tar batribodhu momta ke dhorshon koren,0
"degree complete, ekhon relax er plan ase ",1
"degree complete, kono regrets nei to ",1
degree er por raji bondho hoye gele naki ,1
"degree paili, ekhon life er goal ki ",1
"degree pawa easy na, tui korli!",1
"degree pawa shuru holo, ekhon career ta jamai!",1
"degree shesh, ekhon biye kab ",1
deikha toh lage baap ugandai asilo ,0
dekh vai barishal er chutiya public dekh,0
dekha hobe na mone hoy!,1
dekhei to pagol sagol lage tarupor kala ,0
desh ajke kichuta obhishap mukto holo,1
desi maal purai! dekhlei chudte mon chai! ,0
"dhaka college polapaner dosh asle, eder dhore petano uchit",0
dhaka er kono puraton jayga kina historical mone hocche! ,1
dhakar shahore sheetkaleo kuyasha nai,1
dhet amar cheter bal,0
dhon ,0
dhongsher shesh prante Bangladesh.,0
dhonjbad vai,1
dhonnobad,1
dhonnobad,1
dhonnobad apnake apnader moto manush ache bolei deshta ekhono shundor ache,1
"dhonnobad ismail bhai, amader upokar o onek boro. ",1
dhonnobad sobshomoyer moto amader sathe thakar jonno,1
dhormo niropekkhotar name musolman meyeder opoman ar koto kono karon charai ei bharot er meddia amdr ma bon der kharap bhabe dekhacche..,0
dhormoniropekkhotar lebash lagiye varot 6 december babri moshjid shohid kore! ,0
dhur chat er bal,0
dhur kuttarbaccha nastik er ghorer nastik! ,0
din din atar bosta hoya jaitase ,0
din ta shuru holo cha ar biscuit diye ,1
"dirgho 2 bochor por ajke hothat korei tar chobi chokhe porlo, purono smriti abar mone porte laglo.",1
discount ki pabo,1
dokane tala lagay deya hobe..proti fota rokter corom mullo dite hobe..,0
"doll er obujh abdar, ar tomar obujh stubbornnesseta ekta perfect childhood memory. ",1
"doll jodi ajke post ta pore, take kemon lagbe ",1
"doll joto kichu dite chailo, tumi ekta wing o dite parlei na",1
donuld trump er chehara khek shiyal er moto ,0
dress a code boshano job emergency member lagbe,1
dudh er size,0
dudh gorom hole shor jome upore r meyeder niche! ,0
dudh ki litre na kg apnar,0
"dudu boro koro thik ache, pet ta to choto korbaa!",0
"dukkho shudhu ekta chapter, purata jibon na. ",1
durgondo holew din shese rat holei ei purshongo niye to narira khelate lipto hoy ,0
dushtumi korlam!,1
"e deshe jonmo newai shobcheye boro bhul, baal er shorkar!",0
edir to jahanname o jaiga hobe na ogo present er mair chudhi mamun re kois,0
"editor vai tumi ashole akta bolodchuda, onnoke kivabe down kora jai sey cintai thako",0
eganeer mughdata kokhonooi bhashay prokash kora jabe na,1
egijan,1
"egiye jan vai, amra achi apnar pashe",1
egiye jete hobe sobar,1
ei bainchod madarchod ere kotha kno kos?,0
Ei bal ta abr k  j jamal bhuiyan k niye kotha bole ,0
Ei biriyani post er jonno onek upvote dewa dorkar,1
ei chagoltake dekhle thapraite mon chay ,0
ei chhobi dekhe art korte iccha hocche! ,1
Ei college er moto faltu college ar nai ei deshe,0
"ei dhoroner bebshayi der lagam tene dhora ucit, janowar er baccha, dekhlei gono dhulai hobe?",0
ei feeling ta ektu describe kor! pure happiness!,1
ei gan gulo lyrics kono shadharon manush likhte pare na.,1
"Ei ganer man bichar korar joggota ba khomota konotai amar nei, shune shudhu mughdo hoye jawa chara upay nei",1
"ei golpota onek shundor, but ekta bepar bujhlam nakeno tumi butterfly ta dile na ",1
ei hoilo obostha barishailla der! chi! jonmogotoi chor era.. ,0
ei holo boro achievement! sobai onek proud tor upor!,1
ei holo SUCCESS! ar agiye ja! ,1
"ei jonnoi tomar personality ta eto pochondo kori, sobsomoy erokomi theko.",1
ei journey er shesh ta ekta notun journey er suru!,1
ei khankir pola police re kutta pida dawea uchit,0
"ei kotha ei deshe manai na, eta jongibader desh ",0
ei kuttarbaccha juboleague netar ucit shikkha deya dorkar,0
ei level er Biriyani mone rakhar moto,1
ei level er biriyani pawa jabe koi,1
ei level er biriyani pawa jabe koi,1
Ei lok er natok bhalo lagche,1
ei magike juta mara hok ,0
"ei magir toh kutnami chara bhalo kichu nai, dhon er kotha bole abar",0
ei meye ke pasay tapa tap dewa uchit chilo ,0
ei muhurto ta pura enjoy kor! graduation ekta special achievement!,1
ei nudi dare dekhlei rag lage ,0
Ei onusthan amader gram-e hoyechhe alhamdulillah ami uposthit chhilam.,1
ei post dekhlei khide eksathe excited hoe jachche,1
"ei post ta heart touching, ami porle khub emotional hoye gechi.",1
ei post ta porar por chokh bhore asche. maa shontaner jonno shob kichu korte pare,1
ei post ta porar por nijeke ekhon thekei disciplined sleep routine e anbo! ,1
ei post ta pore amaro chokhe jol chole asche!  parizad asolei ekta onuvutir nam.,1
"ei post ta sobai ke bhabona dibe, ALLAH'r hedayet er upor tika thaka.",1
"ei raat ta jeno cinemar scene! aro kichu bolar nei, pure magic!",1
Ei rokom boro meye ke biye korte hobe... dudh kheye moja pabo ,0
"Ei shala ekdom beshormi korse, report dila better ",0
"ei shala ekdom beshormi korse, report dila better ",0
ei shomoy ta future e mone porbe!,1
ei shundor o mohotto purno udjoger jonne dhaka uttor o dhaka dokkhiner sorbostorer jonogoner pokkho theke sadhubad janai,1
ei sochib ekhon gonoshotru.,0
ei success er por aro onek boro success hok!,1
ei type er aro photo chai! ,1
ei type er bhalobasha real life e pele shobai lucky hoto. ,1
ei type er success ar beshi hok life e!,1
"ei video ta khub dorkar chilo, tomar moto kore keu bojhaini.",1
eid mobarak,1
eida kar voda chilo reee vai ,0
"eirokom classics ar asbe kina sure na, kintu eta evergreen thekei jabe! ",1
"eishob baal er iftar mahfil nishedh kore, puja sponsor kora hok! ",0
eishob kore kore sympathy niye income korbe ar gud vorbe magichudi,0
eisob bebshayi der dhore dhore shastir aotay ana hok.,0
"eisob chatroder ekta ekta kore pitano uchit, shob osadharon bokchoda!",0
"eita hoilo ultimate smartness! not too nerdy, not too naughtyjust perfect. ",1
"eita shudhu ekta movie na, ekta pura emotion. ",1
eitareo chude dili,0
ejnnoi tora randiar malaun jati porer valo shojjo hoy na,0
ek guccho valobasha,1
"ek je chilo dugdho koinna dugdhoboti besh, kon goyale chhilo dugdhoboti koinnar desh khabooo",0
"ek purushe khay sona, arek purushe khay baal, arek purush aisha dekhe chatar kichui nai ",0
ekbar mon bhangle abar kauke bishash kora asole kothin hoye pore,1
ekbar vebe dekhlei mon ek rokom hoye jay! ALLAH sobkichur upore ar amra tar golam.,1
"ekdom boss level e chole geli, abaro congrats!",1
ekdom double ultra modern latest maal varsity dhukse notun,0
ekdom thik kotha! choto choto anonder majhei to ashol shukher jayga. ,1
ekhon live e eshe ekkere haga haiga dibi naile tui thada poira morbi,0
ekhonkar diner shob maiya e luiccha,0
ekhono shomoy ache bhalo hou nahoi dekhe nibo,0
"ekjon father hishebe bolchi, ""judge not, lest ye be judged."" tor dosh nijer chokhe dekhe bujchi shasti nishchit! tor baba maa ke koshto dewar fol tui bhog korbi e",0
ekjonre jigailam argentina support koren ken koy potaka shundor,1
ekkere maal! choda khawano uchit! ,0
"ekmatro juta dokandar rai meyeder ke nisshongkocho bolte paren, ""apu, apnar size koto""  ",0
eksathe tinta baccha jonmodeyar poro meyera hasikhushi ar bichite halka toka khaoar por cheleder behal obostha kno ,0
ekta babar chodon nite parbi na ,0
"ekta bhalobasha ja real life e na peleo, movie dekhlei mone hoy pelechi! ",1
"ekta chhoto golpo er moddhei eto boro upodesh, eto shundor ekta moral! hats off to hashim nadeem! ",1
ekta major achievement! proud of you!,1
ekta motivation speech chai graduate sir er theke! ,1
ekta motivational speech chai tor kase! ,1
ekta noshta magir pola eita! ,0
"ekta onno rokom feeling, tai na congratulations again!",1
"ekta selfie dao, graduation cap pore! ",1
"ekta valo content ki bolte hoy, seta tumi dekhi ai post diye bujhiye diyecho! just amazing writing! ",1
ekti gache duiti begun kintu dekhte ekdom tomar chobir dudher moto ,0
ektu effort dilei shob possible. ,1
ektu mishti gaaner moto lagche post ta. smritir manoshik obostha onek darun dhorachhe.,1
"ektu miss korbi student life, hai na ",1
"emergency blood dorkar, anyone with o negative blood group can help please contact chunnu bhai!",1
emon aesthetic pic tula lagbe,1
"emon ekta lekha, ja onek kichu bojhaye. asol e jibon je shundor ta ektu bhebe dekhte hoy.",1
emon jodi sob shishu babader fire peto,1
emon program proti gram mohalleye chhoriye jak.,1
emon vdo kono musolman korbo na! korle malaun ra e korbo!,0
"emoni chalie ja, aro boro boro success tor jonno roilo!",1
"er bichite kodbel bedhe deya hok, ontoto boro dekhabe",0
era boddho minority community ke accept korte chay na kno ki shomossa eder,0
erm porinam jeno karor na hoy,1
erokom biriyani ranna korte parbo jodi practice kori,1
erokom boro dudh wali meye desher gorbo,0
"erokom childhood er ekta golpo ekta literary piece hoye jaite pare, unbelievable! ",1
"erokom color, arokom smell - perfect biriyani",1
erokom ekta aditya hothat movie theke real life e chole asle life set hoye jeto! ,1
erokom ekta golpo diye ekta short film banano uchit! ,1
"erokom love story real life e pele, r kichu chai na! ",1
erokom pagol ra social media noshto kore dicche ,0
erokom vor belai amr fd ra ghum theke deke tule privet niye jeto ,1
eshb bokachondro re niye bangla tribune ekhn news kore chi ,0
eshob ganer lyrics er prokrito orthho bojhar kingba onuvob korar khomota hoyto sobar nai.,1
esob kulangar chele gula diye desh ar jatir unnoti asha kora jay ki kore bujha ase na...,0
eta ekta unique friendship story! sobai to emon chhoto chhoto golpo likhte pare na. ,1
"eta just ekta milestone, age aro onek success asche!",1
eta ki cheri phul,1
"eta mone pran e na hindu na muslim, eita boro ekta magi",0
"eta porar por mone holo, amader chhoto belar kichu obujh moment er kotha mone korte hobe. nostalgia hit hard. ",1
"eta pura nonsense post, chudiya dimu ekdin ",0
eta tui bujhe shune bolchish naki mal kheye bolchis ,0
eto bhalo kore ekta manush kivabe gay. mashaALLAH priya bhai amar.,1
eto dekhi ekta khacchor!,0
eto din er por ei din aslo! mubarakbad!,1
eto kichu holo hindu ra amder QURAN ta ke osomman korlo na r uni chi chi chi ,0
"eto solid reason, messi o hoilo hoyto flag er jonnei khele! ",1
eto sundor akta ganke manushera unlike dei ki vabe ,1
eto valobasha koi theke ase bhai apnar! eto smart voice apnar!,1
ex er hogay ki beshi current chude din aj e..,0
faak korle valo kore kor na magichudi,0
"facebook e aisha sudhu gali dite ashe, idiot ekta ",0
"faltu jat to tora nijer sister ke biye koris, chi lojja korena ",0
fan niche bose chill marar maja shudhu mid-bencher ra bujhte parbe! ,1
"fan-er niche bose thaka ekta alada sukh, na gorom na thanda! ",1
fireo chahibo na ar,1
fohinnire keu juta pita korena ken re ,0
"food is love, and tumi ei love ta spread korcho",1
ganjakhor sungluss porche salai,0
gaye kanta diye utl,1
"geet er moto carefree hote chailei to life easy hoye jeto, kintu reality e impossible. ",1
"geet er moto hashi sabar thake, but sheta dhore rakha sobar jonno easy na. ",1
"geet er shob dialogue aj porjonto iconic, mane porei feel hoy. ",1
good bye,1
good evening,1
"gora thaka ekta premium idea na, tor mentality ekta problem",0
goriber chuda bhai! choto bhai,0
graduate hoye geli! ajke treat ta dibi to ,1
"graduation er din ta special, pura enjoy korish!",1
"graduation ta just ekta beginning, tar por aro onek ache!",1
great work.,1
gu khabi,0
gud beicha taka nes tora ,0
